grid_id,lat,lon,check_dams,storage,width
340,22.115,71.205,1,21520,15
341,22.115,71.215,0,0,15
342,22.115,71.225,0,0,15
343,22.115,71.235,0,0,15
344,22.115,71.245,0,0,15
345,22.115,71.255,0,0,15
346,22.115,71.265,0,0,15
347,22.115,71.275,0,0,15
348,22.115,71.285,0,0,15
349,22.115,71.295,0,0,15
350,22.115,71.305,0,0,15
351,22.115,71.315,1,18096.66667,15
352,22.105,70.885,0,0,15
353,22.105,70.895,0,0,15
354,22.105,70.905,0,0,15
355,22.105,70.915,0,0,15
356,22.105,70.925,0,0,15
357,22.105,70.935,0,0,15
358,22.105,70.945,0,0,15
359,22.105,70.955,0,0,15
360,22.105,70.965,1,20585.71429,15
361,22.105,70.975,1,20585.71429,15
362,22.105,70.985,1,31120,15
363,22.105,70.995,1,31120,15
364,22.105,71.005,1,31120,15
365,22.105,71.015,1,31120,15
366,22.105,71.025,1,32155,15
367,22.105,71.035,1,18299.23077,15
368,22.105,71.045,1,18299.23077,15
369,22.105,71.055,0,0,15
370,22.105,71.065,0,0,15
371,22.105,71.075,1,18299.23077,15
372,22.105,71.085,1,9205,15
373,22.105,71.095,0,0,15
374,22.105,71.105,1,35360,15
375,22.105,71.115,1,35360,15
376,22.105,71.125,0,0,15
377,22.105,71.135,0,0,15
378,22.105,71.145,0,0,15
379,22.105,71.155,0,0,15
380,22.105,71.165,0,0,15
381,22.105,71.175,0,0,15
382,22.105,71.185,0,0,15
383,22.105,71.195,0,0,15
384,22.105,71.205,0,0,15
385,22.105,71.215,0,0,15
386,22.105,71.225,0,0,15
387,22.105,71.235,0,0,15
388,22.105,71.245,0,0,15
389,22.105,71.255,0,0,15
390,22.105,71.265,0,0,15
391,22.105,71.275,0,0,15
392,22.105,71.285,0,0,15
393,22.105,71.295,0,0,15
394,22.105,71.305,0,0,15
395,22.105,71.315,1,18096.66667,15
396,22.095,70.885,0,0,15
397,22.095,70.895,0,0,15
398,22.095,70.905,0,0,15
399,22.095,70.915,0,0,15
400,22.095,70.925,0,0,15
401,22.095,70.935,0,0,15
402,22.095,70.945,0,0,15
403,22.095,70.955,0,0,15
404,22.095,70.965,1,20585.71429,15
405,22.095,70.975,1,20585.71429,15
406,22.095,70.985,1,31960,15
407,22.095,70.995,1,31960,15
408,22.095,71.005,1,31120,15
409,22.095,71.015,1,31120,15
410,22.095,71.025,0,0,15
411,22.095,71.035,1,18299.23077,15
412,22.095,71.045,0,0,15
413,22.095,71.055,1,18299.23077,15
414,22.095,71.065,0,0,15
415,22.095,71.075,1,18299.23077,15
416,22.095,71.085,1,9205,15
417,22.095,71.095,1,35360,15
418,22.095,71.105,1,35360,15
419,22.095,71.115,1,35360,15
420,22.095,71.125,0,0,15
421,22.095,71.135,0,0,15
422,22.095,71.145,0,0,15
423,22.095,71.155,1,33980,15
424,22.095,71.165,1,33980,15
425,22.095,71.175,0,0,15
426,22.095,71.185,0,0,15
427,22.095,71.195,0,0,15
428,22.095,71.205,0,0,15
429,22.095,71.215,0,0,15
430,22.095,71.225,0,0,15
431,22.095,71.235,0,0,15
432,22.095,71.245,0,0,15
433,22.095,71.255,0,0,15
434,22.095,71.265,0,0,15
435,22.095,71.275,0,0,15
436,22.095,71.285,0,0,15
437,22.095,71.295,0,0,15
438,22.095,71.305,0,0,15
439,22.095,71.315,1,18096.66667,15
440,22.085,70.885,0,0,15
441,22.085,70.895,0,0,15
442,22.085,70.905,0,0,15
443,22.085,70.915,0,0,15
444,22.085,70.925,0,0,15
445,22.085,70.935,0,0,15
446,22.085,70.945,0,0,15
447,22.085,70.955,0,0,15
448,22.085,70.965,0,0,15
449,22.085,70.975,1,20585.71429,15
450,22.085,70.985,1,31960,15
451,22.085,70.995,0,0,15
452,22.085,71.005,1,140703.3333,15
453,22.085,71.015,1,140703.3333,15
454,22.085,71.025,0,0,15
455,22.085,71.035,1,18299.23077,15
456,22.085,71.045,1,18299.23077,15
457,22.085,71.055,0,0,15
458,22.085,71.065,1,18299.23077,15
459,22.085,71.075,0,0,15
460,22.085,71.085,0,0,15
461,22.085,71.095,0,0,15
462,22.085,71.105,1,35360,15
463,22.085,71.115,0,0,15
464,22.085,71.125,1,35360,15
465,22.085,71.135,0,0,15
466,22.085,71.145,0,0,15
467,22.085,71.155,0,0,15
468,22.085,71.165,0,0,15
469,22.085,71.175,1,33980,15
470,22.085,71.185,0,0,15
471,22.085,71.195,0,0,15
472,22.085,71.205,1,35255,15
473,22.085,71.215,1,15800,15
474,22.085,71.225,0,0,15
475,22.085,71.235,1,15800,15
476,22.085,71.245,1,33520,15
477,22.085,71.255,1,33520,15
478,22.085,71.265,1,33520,15
479,22.085,71.275,0,0,15
480,22.085,71.285,0,0,15
481,22.085,71.295,0,0,15
482,22.085,71.305,0,0,15
483,22.085,71.315,1,5095,15
484,22.075,70.885,0,0,15
485,22.075,70.895,0,0,15
486,22.075,70.905,0,0,15
487,22.075,70.915,0,0,15
488,22.075,70.925,0,0,15
489,22.075,70.935,0,0,15
490,22.075,70.945,0,0,15
491,22.075,70.955,0,0,15
492,22.075,70.965,1,27260.90909,15
493,22.075,70.975,1,37095,15
494,22.075,70.985,1,37095,15
495,22.075,70.995,1,37095,15
496,22.075,71.005,1,37095,15
497,22.075,71.015,1,140703.3333,15
498,22.075,71.025,0,0,15
499,22.075,71.035,1,18299.23077,15
500,22.075,71.045,1,18299.23077,15
501,22.075,71.055,0,0,15
502,22.075,71.065,0,0,15
503,22.075,71.075,0,0,15
504,22.075,71.085,0,0,15
505,22.075,71.095,0,0,15
506,22.075,71.105,0,0,15
507,22.075,71.115,0,0,15
508,22.075,71.125,0,0,15
509,22.075,71.135,1,35110,15
510,22.075,71.145,0,0,15
