grid_id,lat,lon,data_g,num_farmers,include,area
320,22.115,71.005,,39,1,79.03
321,22.115,71.015,,40,1,81.73
322,22.115,71.025,,42,1,83.85
323,22.115,71.035,,40,1,81.73
324,22.115,71.045,,38,1,77.58
325,22.115,71.055,,33,1,65.61
326,22.115,71.065,,22,1,44
327,22.115,71.075,,16,1,29.33
328,22.115,71.085,,19,1,39.18
329,22.115,71.095,,20,1,39.85
330,22.115,71.105,,20,1,39.85
331,22.115,71.115,,22,1,44
332,22.115,71.125,,21,1,41.3
333,22.115,71.135,,24,1,46.12
334,22.115,71.145,,38,1,77.58
335,22.115,71.155,,38,1,77.58
336,22.115,71.165,,38,1,77.58
337,22.115,71.175,,38,1,77.58
338,22.115,71.185,,34,1,67.06
339,22.115,71.195,,28,1,56.64
340,22.115,71.205,,29,1,58.09
341,22.115,71.215,,22,1,44
342,22.115,71.225,,22,1,44
343,22.115,71.235,,14,1,27.21
344,22.115,71.245,,20,1,39.85
345,22.115,71.255,,28,1,56.64
346,22.115,71.265,,34,1,67.06
347,22.115,71.275,,42,1,83.85
348,22.115,71.285,,42,1,83.85
349,22.115,71.295,,44,1,88
350,22.115,71.305,,42,1,83.85
351,22.115,71.315,,20,1,39.85
352,22.105,70.885,,0,0,15.7
353,22.105,70.895,,0,0,15.7
354,22.105,70.905,,0,0,15.7
355,22.105,70.915,,0,0,15.7
356,22.105,70.925,,0,0,15.7
357,22.105,70.935,,0,0,15.7
358,22.105,70.945,,1,1,1.45
359,22.105,70.955,,30,1,60.79
360,22.105,70.965,,42,1,83.85
361,22.105,70.975,,38,1,77.58
362,22.105,70.985,,38,1,77.58
363,22.105,70.995,,43,1,85.3
364,22.105,71.005,,42,1,83.85
365,22.105,71.015,,40,1,81.73
366,22.105,71.025,,40,1,81.73
367,22.105,71.035,,40,1,81.73
368,22.105,71.045,,40,1,81.73
369,22.105,71.055,,34,1,67.06
370,22.105,71.065,,25,1,48.82
371,22.105,71.075,,19,1,39.18
372,22.105,71.085,,21,1,41.3
373,22.105,71.095,,20,1,39.85
374,22.105,71.105,,19,1,39.18
375,22.105,71.115,,22,1,44
376,22.105,71.125,,24,1,46.12
377,22.105,71.135,,34,1,67.06
378,22.105,71.145,,42,1,83.85
379,22.105,71.155,,42,1,83.85
380,22.105,71.165,,38,1,77.58
381,22.105,71.175,,34,1,67.06
382,22.105,71.185,,27,1,55.97
383,22.105,71.195,,18,1,37.73
384,22.105,71.205,,22,1,44
385,22.105,71.215,,22,1,44
386,22.105,71.225,,30,1,60.79
387,22.105,71.235,,15,1,27.88
388,22.105,71.245,,14,1,27.21
389,22.105,71.255,,30,1,60.79
390,22.105,71.265,,33,1,65.61
391,22.105,71.275,,31,1,62.24
392,22.105,71.285,,30,1,60.79
393,22.105,71.295,,41,1,82.4
394,22.105,71.305,,42,1,83.85
395,22.105,71.315,,18,1,37.73
396,22.095,70.885,,0,0,15.7
397,22.095,70.895,,0,0,15.7
398,22.095,70.905,,0,0,15.7
399,22.095,70.915,,0,0,15.7
400,22.095,70.925,,0,0,15.7
401,22.095,70.935,,0,1,15.7
402,22.095,70.945,,1,1,1.45
403,22.095,70.955,,14,1,27.21
404,22.095,70.965,,31,1,62.24
405,22.095,70.975,,38,1,77.58
406,22.095,70.985,,23,1,45.45
407,22.095,70.995,,40,1,81.73
408,22.095,71.005,,38,1,77.58
409,22.095,71.015,,42,1,83.85
410,22.095,71.025,,42,1,83.85
411,22.095,71.035,,42,1,83.85
412,22.095,71.045,,39,1,79.03
413,22.095,71.055,,42,1,83.85
414,22.095,71.065,,34,1,67.06
415,22.095,71.075,,26,1,50.27
416,22.095,71.085,,19,1,39.18
417,22.095,71.095,,17,1,35.03
418,22.095,71.105,,19,1,39.18
419,22.095,71.115,,24,1,46.12
420,22.095,71.125,,30,1,60.79
421,22.095,71.135,,36,1,74.21
422,22.095,71.145,,42,1,83.85
423,22.095,71.155,,42,1,83.85
424,22.095,71.165,,39,1,79.03
425,22.095,71.175,,42,1,83.85
426,22.095,71.185,,39,1,79.03
427,22.095,71.195,,31,1,62.24
428,22.095,71.205,,27,1,55.97
429,22.095,71.215,,22,1,44
430,22.095,71.225,,30,1,60.79
431,22.095,71.235,,16,1,29.33
432,22.095,71.245,,9,1,18.24
433,22.095,71.255,,19,1,39.18
434,22.095,71.265,,27,1,55.97
435,22.095,71.275,,34,1,67.06
436,22.095,71.285,,39,1,79.03
437,22.095,71.295,,42,1,83.85
438,22.095,71.305,,31,1,62.24
439,22.095,71.315,,6,1,10.42
440,22.085,70.885,,0,0,15.7
441,22.085,70.895,,0,0,15.7
442,22.085,70.905,,0,0,15.7
443,22.085,70.915,,0,0,15.7
444,22.085,70.925,,0,0,15.7
445,22.085,70.935,,0,1,15.7
446,22.085,70.945,,12,1,23.06
447,22.085,70.955,,30,1,60.79
448,22.085,70.965,,27,1,55.97
449,22.085,70.975,,39,1,79.03
450,22.085,70.985,,42,1,83.85
451,22.085,70.995,,42,1,83.85
452,22.085,71.005,,42,1,83.85
453,22.085,71.015,,43,1,85.3
454,22.085,71.025,,42,1,83.85
455,22.085,71.035,,42,1,83.85
456,22.085,71.045,,36,1,74.21
457,22.085,71.055,,34,1,67.06
458,22.085,71.065,,40,1,81.73
459,22.085,71.075,,26,1,50.27
460,22.085,71.085,,23,1,45.45
461,22.085,71.095,,18,1,37.73
462,22.085,71.105,,23,1,45.45
463,22.085,71.115,,33,1,65.61
464,22.085,71.125,,31,1,62.24
465,22.085,71.135,,38,1,77.58
466,22.085,71.145,,42,1,83.85
467,22.085,71.155,,42,1,83.85
468,22.085,71.165,,39,1,79.03
469,22.085,71.175,,44,1,88
470,22.085,71.185,,42,1,83.85
471,22.085,71.195,,42,1,83.85
472,22.085,71.205,,39,1,79.03
473,22.085,71.215,,33,1,65.61
474,22.085,71.225,,31,1,62.24
475,22.085,71.235,,22,1,44
476,22.085,71.245,,18,1,37.73
477,22.085,71.255,,22,1,44
478,22.085,71.265,,28,1,56.64
479,22.085,71.275,,22,1,44
480,22.085,71.285,,30,1,60.79
481,22.085,71.295,,36,1,74.21
482,22.085,71.305,,14,1,27.21
483,22.085,71.315,,1,1,1.45
484,22.075,70.885,,0,0,15.7
485,22.075,70.895,,0,0,15.7
486,22.075,70.905,,0,0,15.7
487,22.075,70.915,,0,0,15.7
488,22.075,70.925,,0,0,15.7
489,22.075,70.935,,0,0,15.7
490,22.075,70.945,,4,1,6.27
491,22.075,70.955,,24,1,46.12
492,22.075,70.965,,31,1,62.24
493,22.075,70.975,,34,1,67.06
494,22.075,70.985,,38,1,77.58
495,22.075,70.995,,34,1,67.06
496,22.075,71.005,,42,1,83.85
497,22.075,71.015,,42,1,83.85
498,22.075,71.025,,39,1,79.03
499,22.075,71.035,,42,1,83.85
500,22.075,71.045,,42,1,83.85
501,22.075,71.055,,42,1,83.85
502,22.075,71.065,,42,1,83.85
503,22.075,71.075,,34,1,67.06
504,22.075,71.085,,27,1,55.97
505,22.075,71.095,,23,1,45.45
506,22.075,71.105,,27,1,55.97
507,22.075,71.115,,30,1,60.79
508,22.075,71.125,,34,1,67.06
509,22.075,71.135,,39,1,79.03
510,22.075,71.145,,42,1,83.85
511,22.075,71.155,,42,1,83.85
512,22.075,71.165,,38,1,77.58
513,22.075,71.175,,42,1,83.85
514,22.075,71.185,,40,1,81.73
515,22.075,71.195,,38,1,77.58
516,22.075,71.205,,31,1,62.24
517,22.075,71.215,,27,1,55.97
518,22.075,71.225,,23,1,45.45
519,22.075,71.235,,27,1,55.97
520,22.075,71.245,,27,1,55.97
